RecordID,Date,Year,Month,YearMonth,Type,Category,Department,Actual,Budget,Variance
R00001,2022-01-01,2022,1,2022-01,Revenue,Product Sales,R&D,270599.2,291574.93,-20975.73
R00002,2022-01-01,2022,1,2022-01,Revenue,Service Revenue,Operations,157134.27,148676.12,8458.15
R00003,2022-01-01,2022,1,2022-01,Revenue,Subscription,Sales,170643.59,177780.35,-7136.76
R00004,2022-01-01,2022,1,2022-01,Revenue,Licensing,Operations,71442.66,71201.31,241.35
R00005,2022-01-01,2022,1,2022-01,Expense,Salaries,Sales,126925.36,127350.04,-424.69
R00006,2022-01-01,2022,1,2022-01,Expense,Marketing Spend,Sales,28691.59,25469.93,3221.66
R00007,2022-01-01,2022,1,2022-01,Expense,Software & Tools,Sales,6855.35,8031.71,-1176.36
R00008,2022-01-01,2022,1,2022-01,Expense,Travel,Sales,4320.0,5379.0,-1059.01
R00009,2022-01-01,2022,1,2022-01,Expense,Professional Services,Sales,6140.27,7132.59,-992.32
R00010,2022-01-01,2022,1,2022-01,Expense,Office Supplies,Sales,2289.94,1989.36,300.57
R00011,2022-01-01,2022,1,2022-01,Expense,Marketing Spend,Marketing,46968.87,58891.38,-11922.5
R00012,2022-01-01,2022,1,2022-01,Expense,Software & Tools,Marketing,6838.32,7655.54,-817.23
R00013,2022-01-01,2022,1,2022-01,Expense,Travel,Marketing,5274.9,5088.0,186.9
R00014,2022-01-01,2022,1,2022-01,Expense,Office Supplies,Marketing,1934.64,1898.32,36.32
R00015,2022-01-01,2022,1,2022-01,Expense,Salaries,Operations,77552.51,85920.72,-8368.21
R00016,2022-01-01,2022,1,2022-01,Expense,Marketing Spend,Operations,27567.14,24799.02,2768.12
R00017,2022-01-01,2022,1,2022-01,Expense,Rent & Utilities,Operations,13535.97,12436.36,1099.61
R00018,2022-01-01,2022,1,2022-01,Expense,Software & Tools,Operations,8169.07,8026.67,142.4
R00019,2022-01-01,2022,1,2022-01,Expense,Training,Operations,3078.08,3223.32,-145.25
R00020,2022-01-01,2022,1,2022-01,Expense,Marketing Spend,IT,23472.05,23661.07,-189.02
R00021,2022-01-01,2022,1,2022-01,Expense,Rent & Utilities,IT,11724.25,11798.17,-73.93
R00022,2022-01-01,2022,1,2022-01,Expense,Software & Tools,IT,12300.82,13706.13,-1405.31
R00023,2022-01-01,2022,1,2022-01,Expense,Software & Tools,HR,7028.98,7834.65,-805.66
R00024,2022-01-01,2022,1,2022-01,Expense,Training,HR,3055.12,2943.8,111.31
R00025,2022-01-01,2022,1,2022-01,Expense,Software & Tools,Finance,7414.56,7411.75,2.81
R00026,2022-01-01,2022,1,2022-01,Expense,Professional Services,Finance,6872.61,6665.93,206.68
R00027,2022-01-01,2022,1,2022-01,Expense,Training,Finance,3056.95,3093.85,-36.9
R00028,2022-01-01,2022,1,2022-01,Expense,Salaries,R&D,113961.44,111204.39,2757.05
R00029,2022-01-01,2022,1,2022-01,Expense,Marketing Spend,R&D,28321.4,25395.46,2925.94
R00030,2022-01-01,2022,1,2022-01,Expense,Professional Services,R&D,6171.54,6951.32,-779.78
R00031,2022-01-01,2022,1,2022-01,Expense,Office Supplies,R&D,1949.91,2122.65,-172.74
R00032,2022-01-01,2022,1,2022-01,Expense,Training,R&D,2659.88,2931.02,-271.14
R00033,2022-02-01,2022,2,2022-02,Revenue,Product Sales,R&D,318490.88,283548.2,34942.68
R00034,2022-02-01,2022,2,2022-02,Revenue,Service Revenue,Sales,150460.95,158010.08,-7549.13
R00035,2022-02-01,2022,2,2022-02,Revenue,Subscription,R&D,184376.86,186953.11,-2576.25
R00036,2022-02-01,2022,2,2022-02,Revenue,Licensing,R&D,71102.16,70524.16,578.0
R00037,2022-02-01,2022,2,2022-02,Expense,Salaries,Sales,109865.28,112684.26,-2818.98
R00038,2022-02-01,2022,2,2022-02,Expense,Marketing Spend,Sales,25435.77,24615.34,820.42
R00039,2022-02-01,2022,2,2022-02,Expense,Rent & Utilities,Sales,11114.1,11514.0,-399.91
R00040,2022-02-01,2022,2,2022-02,Expense,Professional Services,Sales,8045.26,6738.79,1306.46
R00041,2022-02-01,2022,2,2022-02,Expense,Training,Sales,2579.75,2925.63,-345.89
R00042,2022-02-01,2022,2,2022-02,Expense,Rent & Utilities,Marketing,11812.02,12101.55,-289.54
R00043,2022-02-01,2022,2,2022-02,Expense,Travel,Marketing,4804.48,4793.73,10.75
R00044,2022-02-01,2022,2,2022-02,Expense,Office Supplies,Marketing,2290.05,1967.62,322.43
R00045,2022-02-01,2022,2,2022-02,Expense,Marketing Spend,Operations,25061.49,25783.25,-721.76
R00046,2022-02-01,2022,2,2022-02,Expense,Software & Tools,Operations,7328.58,8270.27,-941.69
R00047,2022-02-01,2022,2,2022-02,Expense,Professional Services,Operations,6151.97,7493.39,-1341.42
R00048,2022-02-01,2022,2,2022-02,Expense,Office Supplies,Operations,2010.65,2108.07,-97.42
R00049,2022-02-01,2022,2,2022-02,Expense,Marketing Spend,IT,25310.86,25783.14,-472.28
R00050,2022-02-01,2022,2,2022-02,Expense,Rent & Utilities,IT,10829.84,12925.76,-2095.93
R00051,2022-02-01,2022,2,2022-02,Expense,Software & Tools,IT,13366.78,15543.37,-2176.59
R00052,2022-02-01,2022,2,2022-02,Expense,Training,IT,2800.98,3096.17,-295.19
R00053,2022-02-01,2022,2,2022-02,Expense,Rent & Utilities,HR,13395.97,12673.78,722.19
R00054,2022-02-01,2022,2,2022-02,Expense,Training,HR,3396.12,3227.36,168.76
R00055,2022-02-01,2022,2,2022-02,Expense,Salaries,Finance,80036.78,84804.35,-4767.57
R00056,2022-02-01,2022,2,2022-02,Expense,Marketing Spend,Finance,28708.43,23703.7,5004.73
R00057,2022-02-01,2022,2,2022-02,Expense,Rent & Utilities,Finance,11978.02,11383.34,594.68
R00058,2022-02-01,2022,2,2022-02,Expense,Software & Tools,Finance,8586.01,8282.8,303.21
R00059,2022-02-01,2022,2,2022-02,Expense,Travel,Finance,5063.81,5007.05,56.76
R00060,2022-02-01,2022,2,2022-02,Expense,Office Supplies,Finance,2053.92,2153.25,-99.32
R00061,2022-02-01,2022,2,2022-02,Expense,Training,Finance,3365.49,2968.51,396.98
R00062,2022-02-01,2022,2,2022-02,Expense,Salaries,R&D,115310.18,113486.58,1823.6
R00063,2022-02-01,2022,2,2022-02,Expense,Rent & Utilities,R&D,11997.1,12138.25,-141.15
R00064,2022-02-01,2022,2,2022-02,Expense,Travel,R&D,5741.83,4975.96,765.87
R00065,2022-02-01,2022,2,2022-02,Expense,Professional Services,R&D,7805.34,7277.45,527.89
R00066,2022-02-01,2022,2,2022-02,Expense,Training,R&D,3047.49,3034.7,12.79
