YearMonth,Year,Month,Actual_Expense,Actual_Revenue,Budget_Expense,Budget_Revenue,Actual_Profit,Budget_Profit,Profit_Margin_Pct
2022-01,2022,1,594131.52,669819.72,609012.15,689232.71,75688.19999999995,80220.55999999994,11.3
2022-02,2022,2,569294.35,724430.85,573461.42,699035.55,155136.5,125574.13,21.41
2022-03,2022,3,816345.26,749685.01,810180.2,726447.22,-66660.25,-83732.97999999998,-8.89
2022-04,2022,4,426763.44,797974.25,432016.42,747765.13,371210.81,315748.71,46.52
2022-05,2022,5,555229.9,712905.4299999999,549288.46,728998.14,157675.5299999999,179709.68000000005,22.12
2022-06,2022,6,554676.56,705124.61,534034.8,700138.3,150448.04999999993,166103.5,21.34
2022-07,2022,7,758486.8200000001,655452.91,749612.98,677384.96,-103033.91000000003,-72228.02000000002,-15.72
2022-08,2022,8,502578.85,624390.65,492537.26,665611.25,121811.80000000005,173073.99,19.51
2022-09,2022,9,834345.03,617048.4199999999,847314.58,629932.23,-217296.6100000001,-217382.34999999998,-35.22
2022-10,2022,10,728848.83,633564.9,707226.68,636280.96,-95283.92999999993,-70945.72000000009,-15.04
2022-11,2022,11,490022.74,645797.75,466629.7,641919.61,155775.01,175289.90999999997,24.12
2022-12,2022,12,549116.83,680513.86,533980.61,651288.76,131397.03000000003,117308.15000000002,19.31
2023-01,2023,1,621143.25,751018.59,637621.91,721291.74,129875.33999999997,83669.82999999996,17.29
2023-02,2023,2,689201.24,736787.89,741838.11,739893.77,47586.65000000002,-1944.3399999999674,6.46
2023-03,2023,3,518780.18,773554.85,529103.38,744689.1,254774.66999999998,215585.71999999997,32.94
2023-04,2023,4,656803.35,785002.48,677246.04,751602.54,128199.13,74356.5,16.33
2023-05,2023,5,812675.18,771809.18,780258.3099999999,734412.44,-40866.0,-45845.869999999995,-5.29
2023-06,2023,6,594216.07,746801.25,595926.42,753679.76,152585.18000000005,157753.33999999997,20.43
2023-07,2023,7,730126.9400000001,706803.8200000001,706204.24,726576.46,-23323.119999999995,20372.219999999972,-3.3
2023-08,2023,8,455573.87,649866.4199999999,474632.65,691179.59,194292.54999999993,216546.93999999994,29.9
2023-09,2023,9,562948.4,637660.96,590897.6,663817.8,74712.55999999994,72920.20000000007,11.72
2023-10,2023,10,798692.63,606050.66,819394.64,644280.81,-192641.96999999997,-175113.82999999996,-31.79
2023-11,2023,11,689410.88,665720.27,676458.57,652009.16,-23690.609999999986,-24449.409999999916,-3.56
2023-12,2023,12,656103.04,674721.82,689135.9400000001,687153.6599999999,18618.77999999991,-1982.2800000001444,2.76
2024-01,2024,1,610838.32,726890.52,612282.77,726718.26,116052.20000000007,114435.48999999999,15.97
2024-02,2024,2,549063.57,761267.23,558905.42,773151.0,212203.66000000003,214245.57999999996,27.88
2024-03,2024,3,563385.0599999999,767913.22,542940.15,784818.2,204528.16000000003,241878.04999999993,26.63
2024-04,2024,4,697060.4299999999,802334.13,730112.88,807445.8300000001,105273.70000000007,77332.95000000007,13.12
2024-05,2024,5,949686.29,799692.6799999999,957566.6900000001,774410.6,-149993.6100000001,-183156.09000000008,-18.76
2024-06,2024,6,487825.27999999997,720253.26,491782.27999999997,765165.22,232427.98000000004,273382.94,32.27
2024-07,2024,7,863791.89,723023.83,847395.88,724496.85,-140768.06000000006,-122899.03000000003,-19.47
2024-08,2024,8,485871.51999999996,700166.86,474954.21,710791.37,214295.34000000003,235837.15999999997,30.61
2024-09,2024,9,464658.68,737761.6,462041.79,662009.0900000001,273102.92,199967.3000000001,37.02
2024-10,2024,10,452995.53,722253.74,460980.45,677647.16,269258.20999999996,216666.71000000002,37.28
2024-11,2024,11,586242.33,725338.47,578017.06,671178.46,139096.14,93161.3999999999,19.18
2024-12,2024,12,631472.02,685792.64,630131.1900000001,717044.63,54320.619999999995,86913.43999999994,7.92
2025-01,2025,1,829803.8099999999,826938.11,853391.89,767756.08,-2865.6999999999534,-85635.81000000006,-0.35
2025-02,2025,2,669982.25,777410.9,660427.26,776608.9299999999,107428.65000000002,116181.66999999993,13.82
2025-03,2025,3,816559.88,805232.6799999999,811137.6799999999,817543.76,-11327.20000000007,6406.0800000000745,-1.41
2025-04,2025,4,642453.94,775109.4400000001,682977.97,817302.5599999999,132655.50000000012,134324.58999999997,17.11
2025-05,2025,5,765965.24,819480.99,756114.76,821232.06,53515.75,65117.30000000005,6.53
2025-06,2025,6,932632.5599999999,767892.31,911297.28,805655.11,-164740.24999999988,-105642.17000000004,-21.45
2025-07,2025,7,581964.99,749489.13,609145.28,743083.69,167524.14,133938.40999999992,22.35
2025-08,2025,8,508185.5,701666.63,545937.0,728551.94,193481.13,182614.93999999994,27.57
